crop,year,yield_kg_per_ha,total_rainfall,avg_rainfall,max_rainfall,monsoon_rainfall
Maize (corn),1981,1580.5,136143.438908648,45.02097847508201,665.4426,109427.341307
Maize (corn),1982,1406.2,119251.520989989,39.435026782403774,355.03278,94722.163016
Maize (corn),1983,1510.8,132036.45553472,43.66284905248678,310.88333,100861.390865
Maize (corn),1984,1416.7,145058.68154576,47.96914072280423,452.2459,122028.5729282
Maize (corn),1985,1421.5,147158.720169712,48.66359793971958,529.0,116313.825799
Maize (corn),1986,1385.6,126836.157050144,41.94317362769312,240.96428,99998.011203
Maize (corn),1987,1337.9,143027.212682183,47.29735869119808,438.32788,115306.7957865
Maize (corn),1988,1484.5,139663.949012985,46.1851683243998,311.19672,112010.9426035
Maize (corn),1989,1598.8,129420.469801709,42.79777440532705,340.9608,107938.037936
Maize (corn),1990,1624.6,139630.292459526,46.17403851174802,385.7395,110084.659261
Maize (corn),1991,1597.6,104702.416599536,34.62381501307407,372.57376,84963.77777
Maize (corn),1992,1664.7,84788.945728786,28.03867252936045,249.34427,65746.794162
Maize (corn),1993,1598.4,111786.891156569,36.96656453590245,263.78152,85360.71857
Maize (corn),1994,1650.2,104665.002514379,34.611442630416335,314.96,88194.502236
Maize (corn),1995,1644.7,96354.870661433,31.86338315523578,324.5462,81085.1334695
Maize (corn),1996,1677.0,110133.773283257,36.41989857250562,282.57895,88001.20861
Maize (corn),1997,1658.5,101530.926916374,33.57504196970039,293.60657,79438.218298
Maize (corn),1998,1711.2,135246.810128546,44.7244742488578,358.03278,104166.599056
Maize (corn),1999,1677.6,129543.024103328,42.8383016214709,394.2623,105714.196437
Maize (corn),2000,1727.5,147903.208026636,48.90979101409921,445.0504,118072.778422
Maize (corn),2001,1800.0,127178.317013323,42.05632176366501,351.93442,97181.305788
Maize (corn),2002,1829.1,130508.551921292,43.15758992106217,426.2787,102695.45795
Maize (corn),2003,1876.5,130985.770658408,43.31540035000265,352.459,107141.551325
Maize (corn),2004,1905.9,137872.708900568,45.59282701738359,339.5946,110989.285786
Maize (corn),2005,2019.1,110958.477267178,36.692618143908064,292.51852,84649.661549
Maize (corn),2006,2038.2,127446.086589679,42.14486990399438,309.90277,97543.597709
Maize (corn),2007,2090.9,138205.573417916,45.702901262538354,389.7787,106341.869949
Maize (corn),2008,2159.0,135794.880138772,44.90571433160449,324.42,113779.547868
Maize (corn),2009,2205.4,133018.564307753,43.98762047214054,413.74417,105406.61682
Maize (corn),2010,2118.6,124109.459620642,41.04148796978902,423.29413,100547.4324045
Maize (corn),2011,2281.4,136755.643980486,45.223427242224204,383.13446,109973.261733
Maize (corn),2012,2501.1,125227.425850588,41.411185797152115,325.72092,102938.680823
Maize (corn),2013,2352.8,141807.775564935,46.89410567623512,540.2857,104789.040092
Maize (corn),2014,2458.4,134649.251405733,44.52686885110218,271.3721,105963.589008
Maize (corn),2015,2431.2,121008.930771048,40.01618081053175,335.44263,90232.789763
Maize (corn),2016,2502.9,135503.509467565,44.80936159641699,384.37704,106339.516653
Maize (corn),2017,2554.9,118371.323552535,39.14395620123512,363.03278,95139.574294
Maize (corn),2018,2721.6,130115.096968872,43.02747915637302,305.8,105586.484692
Maize (corn),2019,2819.9,122663.106442189,40.56319657479795,460.91803,95610.290162
Maize (corn),2020,2961.1,139839.758519288,46.243306388653444,377.70587,106186.949131
Maize (corn),2021,3059.6,147155.437482122,48.66251239488162,357.7843,113322.716796
Maize (corn),2022,3151.9,126160.530543462,41.71975216384325,353.57376,96946.1795195
Maize (corn),2023,3165.6,110393.564912898,36.50580850294246,290.96722,87239.540342
Maize (corn),2024,3486.6,115179.322538063,38.08840031020602,382.85245,97736.21131
Millet,1981,996.8,136143.438908648,45.02097847508201,665.4426,109427.341307
Millet,1982,937.7,119251.520989989,39.435026782403774,355.03278,94722.163016
Millet,1983,927.7,132036.45553472,43.66284905248678,310.88333,100861.390865
Millet,1984,926.0,145058.68154576,47.96914072280423,452.2459,122028.5729282
Millet,1985,913.2,147158.720169712,48.66359793971958,529.0,116313.825799
Millet,1986,912.5,126836.157050144,41.94317362769312,240.96428,99998.011203
Millet,1987,911.1,143027.212682183,47.29735869119808,438.32788,115306.7957865
Millet,1988,1002.9,139663.949012985,46.1851683243998,311.19672,112010.9426035
Millet,1989,1161.7,129420.469801709,42.79777440532705,340.9608,107938.037936
Millet,1990,1166.5,139630.292459526,46.17403851174802,385.7395,110084.659261
Millet,1991,1153.5,104702.416599536,34.62381501307407,372.57376,84963.77777
Millet,1992,1173.4,84788.945728786,28.03867252936045,249.34427,65746.794162
Millet,1993,1078.7,111786.891156569,36.96656453590245,263.78152,85360.71857
Millet,1994,1069.7,104665.002514379,34.611442630416335,314.96,88194.502236
Millet,1995,972.1,96354.870661433,31.86338315523578,324.5462,81085.1334695
Millet,1996,1086.6,110133.773283257,36.41989857250562,282.57895,88001.20861
Millet,1997,1084.6,101530.926916374,33.57504196970039,293.60657,79438.218298
Millet,1998,1086.5,135246.810128546,44.7244742488578,358.03278,104166.599056
Millet,1999,1103.9,129543.024103328,42.8383016214709,394.2623,105714.196437
Millet,2000,1024.6,147903.208026636,48.90979101409921,445.0504,118072.778422
Millet,2001,1088.4,127178.317013323,42.05632176366501,351.93442,97181.305788
Millet,2002,1094.7,130508.551921292,43.15758992106217,426.2787,102695.45795
Millet,2003,1091.6,130985.770658408,43.31540035000265,352.459,107141.551325
Millet,2004,1095.8,137872.708900568,45.59282701738359,339.5946,110989.285786
Millet,2005,1119.8,110958.477267178,36.692618143908064,292.51852,84649.661549
Millet,2006,1111.8,127446.086589679,42.14486990399438,309.90277,97543.597709
Millet,2007,1074.1,138205.573417916,45.702901262538354,389.7787,106341.869949
Millet,2008,1096.4,135794.880138772,44.90571433160449,324.42,113779.547868
Millet,2009,1100.8,133018.564307753,43.98762047214054,413.74417,105406.61682
Millet,2010,1115.7,124109.459620642,41.04148796978902,423.29413,100547.4324045
Millet,2011,1121.8,136755.643980486,45.223427242224204,383.13446,109973.261733
Millet,2012,1133.2,125227.425850588,41.411185797152115,325.72092,102938.680823
Millet,2013,1113.9,141807.775564935,46.89410567623512,540.2857,104789.040092
Millet,2014,1121.4,134649.251405733,44.52686885110218,271.3721,105963.589008
Millet,2015,1150.9,121008.930771048,40.01618081053175,335.44263,90232.789763
Millet,2016,1133.4,135503.509467565,44.80936159641699,384.37704,106339.516653
Millet,2017,1163.5,118371.323552535,39.14395620123512,363.03278,95139.574294
Millet,2018,1191.6,130115.096968872,43.02747915637302,305.8,105586.484692
Millet,2019,1193.6,122663.106442189,40.56319657479795,460.91803,95610.290162
Millet,2020,1222.5,139839.758519288,46.243306388653444,377.70587,106186.949131
Millet,2021,1230.0,147155.437482122,48.66251239488162,357.7843,113322.716796
Millet,2022,1271.1,126160.530543462,41.71975216384325,353.57376,96946.1795195
Millet,2023,1363.8,110393.564912898,36.50580850294246,290.96722,87239.540342
Millet,2024,1337.0,115179.322538063,38.08840031020602,382.85245,97736.21131
Potatoes,1981,5658.3,136143.438908648,45.02097847508201,665.4426,109427.341307
Potatoes,1982,6173.8,119251.520989989,39.435026782403774,355.03278,94722.163016
Potatoes,1983,6300.2,132036.45553472,43.66284905248678,310.88333,100861.390865
Potatoes,1984,6506.1,145058.68154576,47.96914072280423,452.2459,122028.5729282
Potatoes,1985,6410.7,147158.720169712,48.66359793971958,529.0,116313.825799
Potatoes,1986,5098.9,126836.157050144,41.94317362769312,240.96428,99998.011203
Potatoes,1987,5317.1,143027.212682183,47.29735869119808,438.32788,115306.7957865
Potatoes,1988,7071.0,139663.949012985,46.1851683243998,311.19672,112010.9426035
Potatoes,1989,7857.2,129420.469801709,42.79777440532705,340.9608,107938.037936
Potatoes,1990,8060.1,139630.292459526,46.17403851174802,385.7395,110084.659261
Potatoes,1991,8756.9,104702.416599536,34.62381501307407,372.57376,84963.77777
Potatoes,1992,8591.6,84788.945728786,28.03867252936045,249.34427,65746.794162
Potatoes,1993,8426.8,111786.891156569,36.96656453590245,263.78152,85360.71857
Potatoes,1994,8753.9,104665.002514379,34.611442630416335,314.96,88194.502236
Potatoes,1995,8592.6,96354.870661433,31.86338315523578,324.5462,81085.1334695
Potatoes,1996,8475.0,110133.773283257,36.41989857250562,282.57895,88001.20861
Potatoes,1997,8982.0,101530.926916374,33.57504196970039,293.60657,79438.218298
Potatoes,1998,8466.4,135246.810128546,44.7244742488578,358.03278,104166.599056
Potatoes,1999,9259.9,129543.024103328,42.8383016214709,394.2623,105714.196437
Potatoes,2000,9643.6,147903.208026636,48.90979101409921,445.0504,118072.778422
Potatoes,2001,10182.4,127178.317013323,42.05632176366501,351.93442,97181.305788
Potatoes,2002,10901.8,130508.551921292,43.15758992106217,426.2787,102695.45795
Potatoes,2003,10924.6,130985.770658408,43.31540035000265,352.459,107141.551325
Potatoes,2004,11489.8,137872.708900568,45.59282701738359,339.5946,110989.285786
Potatoes,2005,11845.8,110958.477267178,36.692618143908064,292.51852,84649.661549
Potatoes,2006,13089.6,127446.086589679,42.14486990399438,309.90277,97543.597709
Potatoes,2007,12656.8,138205.573417916,45.702901262538354,389.7787,106341.869949
Potatoes,2008,13110.0,135794.880138772,44.90571433160449,324.42,113779.547868
Potatoes,2009,13326.3,133018.564307753,43.98762047214054,413.74417,105406.61682
Potatoes,2010,13584.1,124109.459620642,41.04148796978902,423.29413,100547.4324045
Potatoes,2011,13735.2,136755.643980486,45.223427242224204,383.13446,109973.261733
Potatoes,2012,13583.7,125227.425850588,41.411185797152115,325.72092,102938.680823
Potatoes,2013,13640.8,141807.775564935,46.89410567623512,540.2857,104789.040092
Potatoes,2014,13695.5,134649.251405733,44.52686885110218,271.3721,105963.589008
Potatoes,2015,13125.9,121008.930771048,40.01618081053175,335.44263,90232.789763
Potatoes,2016,14029.9,135503.509467565,44.80936159641699,384.37704,106339.516653
Potatoes,2017,13863.1,118371.323552535,39.14395620123512,363.03278,95139.574294
Potatoes,2018,15814.2,130115.096968872,43.02747915637302,305.8,105586.484692
Potatoes,2019,16046.4,122663.106442189,40.56319657479795,460.91803,95610.290162
Potatoes,2020,16650.0,139839.758519288,46.243306388653444,377.70587,106186.949131
Potatoes,2021,16727.5,147155.437482122,48.66251239488162,357.7843,113322.716796
Potatoes,2022,17204.2,126160.530543462,41.71975216384325,353.57376,96946.1795195
Potatoes,2023,17112.9,110393.564912898,36.50580850294246,290.96722,87239.540342
Potatoes,2024,16651.1,115179.322538063,38.08840031020602,382.85245,97736.21131
