Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1961","1961","kg/ha","1951.4","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1962","1962","kg/ha","1955.2","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1963","1963","kg/ha","1956.2","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1964","1964","kg/ha","1954.2","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1965","1965","kg/ha","1898","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1966","1966","kg/ha","1831.2","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1967","1967","kg/ha","1809.7","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1968","1968","kg/ha","1814.2","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1969","1969","kg/ha","1836.2","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1970","1970","kg/ha","1869.5","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1971","1971","kg/ha","1729.8","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1972","1972","kg/ha","1845","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1973","1973","kg/ha","1794.8","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1974","1974","kg/ha","1804.8","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1975","1975","kg/ha","1652.5","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1976","1976","kg/ha","1790.4","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1977","1977","kg/ha","1664.1","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1978","1978","kg/ha","1635.2","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1979","1979","kg/ha","1332.1","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1980","1980","kg/ha","1624.1","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1981","1981","kg/ha","1580.5","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1982","1982","kg/ha","1406.2","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1983","1983","kg/ha","1510.8","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1984","1984","kg/ha","1416.7","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0112","Maize (corn)","1985","1985","kg/ha","1421.5","A","Official value",""
