year,total_rainfall,avg_rainfall,max_rainfall,monsoon_rainfall
1981,136143.438908648,45.02097847508201,665.4426,109427.341307
1982,119251.520989989,39.435026782403774,355.03278,94722.163016
1983,132036.45553472,43.66284905248678,310.88333,100861.390865
1984,145058.68154576,47.96914072280423,452.2459,122028.5729282
1985,147158.720169712,48.66359793971958,529.0,116313.825799
1986,126836.157050144,41.94317362769312,240.96428,99998.011203
1987,143027.212682183,47.29735869119808,438.32788,115306.7957865
1988,139663.949012985,46.1851683243998,311.19672,112010.9426035
1989,129420.469801709,42.79777440532705,340.9608,107938.037936
1990,139630.292459526,46.17403851174802,385.7395,110084.659261
1991,104702.416599536,34.62381501307407,372.57376,84963.77777
1992,84788.945728786,28.03867252936045,249.34427,65746.794162
1993,111786.891156569,36.96656453590245,263.78152,85360.71857
1994,104665.002514379,34.611442630416335,314.96,88194.502236
1995,96354.870661433,31.86338315523578,324.5462,81085.1334695
1996,110133.773283257,36.41989857250562,282.57895,88001.20861
1997,101530.926916374,33.57504196970039,293.60657,79438.218298
1998,135246.810128546,44.7244742488578,358.03278,104166.599056
1999,129543.024103328,42.8383016214709,394.2623,105714.196437
2000,147903.208026636,48.90979101409921,445.0504,118072.778422
2001,127178.317013323,42.05632176366501,351.93442,97181.305788
2002,130508.551921292,43.15758992106217,426.2787,102695.45795
2003,130985.770658408,43.31540035000265,352.459,107141.551325
2004,137872.708900568,45.59282701738359,339.5946,110989.285786
2005,110958.477267178,36.692618143908064,292.51852,84649.661549
2006,127446.086589679,42.14486990399438,309.90277,97543.597709
2007,138205.573417916,45.702901262538354,389.7787,106341.869949
2008,135794.880138772,44.90571433160449,324.42,113779.547868
2009,133018.564307753,43.98762047214054,413.74417,105406.61682
2010,124109.459620642,41.04148796978902,423.29413,100547.4324045
2011,136755.643980486,45.223427242224204,383.13446,109973.261733
2012,125227.425850588,41.411185797152115,325.72092,102938.680823
2013,141807.775564935,46.89410567623512,540.2857,104789.040092
2014,134649.251405733,44.52686885110218,271.3721,105963.589008
2015,121008.930771048,40.01618081053175,335.44263,90232.789763
2016,135503.509467565,44.80936159641699,384.37704,106339.516653
2017,118371.323552535,39.14395620123512,363.03278,95139.574294
2018,130115.096968872,43.02747915637302,305.8,105586.484692
2019,122663.106442189,40.56319657479795,460.91803,95610.290162
2020,139839.758519288,46.243306388653444,377.70587,106186.949131
2021,147155.437482122,48.66251239488162,357.7843,113322.716796
2022,126160.530543462,41.71975216384325,353.57376,96946.1795195
2023,110393.564912898,36.50580850294246,290.96722,87239.540342
2024,115179.322538063,38.08840031020602,382.85245,97736.21131
2025,128004.01545064899,42.329370188706676,289.12604,98627.693935
2026,105311.4379148,50.14830376895238,309.12244,80917.733205
